rank,symbol,name,price_usd,market_cap_usd,volume_24h,ingestion_timestamp
34,USDT0,USDT0,0.999936,4847890902,346527901.0,2025-12-16 20:00:51
35,SUSDS,sUSDS,1.079,4695175973,912510.0,2025-12-16 20:00:51
36,SHIB,Shiba Inu,7.94e-06,4685047113,121465118.0,2025-12-16 20:00:51
37,DAI,Dai,1.0,4356958689,115498233.0,2025-12-16 20:00:51
38,MNT,Mantle,1.24,4036121948,207286629.0,2025-12-16 20:00:51
39,PYUSD,PayPal USD,0.999737,3872698501,84697587.0,2025-12-16 20:00:51
40,TON,Toncoin,1.53,3749015469,117742728.0,2025-12-16 20:00:51
41,WLFI,World Liberty Financial,0.13312,3629233314,98806232.0,2025-12-16 20:00:51
42,CRO,Cronos,0.095555,3572839569,35166239.0,2025-12-16 20:00:51
43,SUSDE,Ethena Staked USDe,1.21,3450709997,41287137.0,2025-12-16 20:00:51
44,UNI,Uniswap,5.14,3238731820,328524865.0,2025-12-16 20:00:51
45,DOT,Polkadot,1.92,3161369493,227124532.0,2025-12-16 20:00:51
46,M,MemeCore,1.67,2867731463,14970808.0,2025-12-16 20:00:51
47,AAVE,Aave,187.74,2853545230,401912991.0,2025-12-16 20:00:51
48,USD1,USD1,0.999476,2739947496,616315209.0,2025-12-16 20:00:51
49,CC,Canton,0.073549,2664690765,13561968.0,2025-12-16 20:00:51
50,RAIN,Rain,0.00781435,2652656025,24672535.0,2025-12-16 20:00:51
51,TAO,Bittensor,261.86,2514980233,133792083.0,2025-12-16 20:00:51
52,BGB,Bitget Token,3.54,2479894980,81718609.0,2025-12-16 20:00:51
53,OKB,OKB,108.77,2283959860,30884969.0,2025-12-16 20:00:51
54,XAUT,Tether Gold,4296.75,2234463688,145781751.0,2025-12-16 20:00:51
55,USDF,Falcon USD,0.999141,2218608709,1914878.0,2025-12-16 20:00:51
56,NEAR,NEAR Protocol,1.54,1969726272,231302176.0,2025-12-16 20:00:51
57,ETC,Ethereum Classic,12.46,1926974184,76249350.0,2025-12-16 20:00:51
58,ASTER,Aster,0.815877,1873711822,504468353.0,2025-12-16 20:00:51
59,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,1.0,1840575670,0.0,2025-12-16 20:00:51
60,JITOSOL,Jito Staked SOL,160.65,1803767985,19108909.0,2025-12-16 20:00:51
61,WETH,Binance-Peg WETH,2953.98,1788292175,82314218.0,2025-12-16 20:00:51
62,PEPE,Pepe,4.07e-06,1713546877,368174195.0,2025-12-16 20:00:51
63,ENA,Ethena,0.222257,1710532278,214326560.0,2025-12-16 20:00:51
64,ICP,Internet Computer,3.06,1666600197,83605283.0,2025-12-16 20:00:51
65,PI,Pi Network,0.196112,1642049453,22265206.0,2025-12-16 20:00:51
66,HASH,Provenance Blockchain,0.03098825,1621827507,78765.0,2025-12-16 20:00:51
67,JLP,Jupiter Perpetuals Liquidity Provider Token,4.56,1617685333,58959014.0,2025-12-16 20:00:51
68,SOL,Wrapped SOL,128.71,1610926092,783080226.0,2025-12-16 20:00:51
69,SYRUPUSDC,syrupUSDC,1.14,1605933104,8709473.0,2025-12-16 20:00:51
70,HTX,HTX DAO,1.64e-06,1526248601,15819223.0,2025-12-16 20:00:51
71,PAXG,PAX Gold,4305.37,1478111751,188781548.0,2025-12-16 20:00:51
72,PUMP,Pump.fun,0.00245925,1452149231,109259975.0,2025-12-16 20:00:51
73,USDG,Global Dollar,0.999974,1429614621,49235573.0,2025-12-16 20:00:51
74,USYC,Circle USYC,1.11,1363721290,222038.0,2025-12-16 20:00:51
75,KCS,KuCoin,10.36,1342992038,7681368.0,2025-12-16 20:00:51
76,SKY,Sky,0.058431,1339850602,18184223.0,2025-12-16 20:00:51
77,SYRUPUSDT,syrupUSDT,1.11,1332439277,339446.0,2025-12-16 20:00:51
78,BFUSD,BFUSD,0.999352,1319152161,20257066.0,2025-12-16 20:00:51
79,WLD,Worldcoin,0.534253,1316814113,130647349.0,2025-12-16 20:00:51
80,RLUSD,Ripple USD,0.99956,1316599400,101775085.0,2025-12-16 20:00:51
81,ONDO,Ondo,0.412342,1302807104,99270961.0,2025-12-16 20:00:51
82,USDC,Binance Bridged USDC (BNB Smart Chain),0.999904,1288878136,216415348.0,2025-12-16 20:00:51
83,RETH,Rocket Pool ETH,3397.43,1237928034,6347434.0,2025-12-16 20:00:51
84,BNSOL,Binance Staked SOL,139.78,1211846449,5311055.0,2025-12-16 20:00:51
85,GT,Gate,10.21,1196857860,4616428.0,2025-12-16 20:00:51
86,POL,POL (ex-MATIC),0.113356,1195967700,90706849.0,2025-12-16 20:00:51
87,APT,Aptos,1.58,1182491087,144644431.0,2025-12-16 20:00:51
89,KAS,Kaspa,0.0434685,1163965903,29976727.0,2025-12-16 20:00:51
88,WBNB,Wrapped BNB,868.11,1162027121,529828450.0,2025-12-16 20:00:51
90,ARB,Arbitrum,0.197938,1112207238,154140835.0,2025-12-16 20:00:51
91,QNT,Quant,75.72,1101116773,16920080.0,2025-12-16 20:00:51
92,RSETH,Kelp DAO Restaked ETH,3128.19,1083662012,108299.0,2025-12-16 20:00:51
93,TRUMP,Official Trump,5.24,1048980389,209977139.0,2025-12-16 20:00:51
94,ALGO,Algorand,0.11638,1027396937,47441180.0,2025-12-16 20:00:51
95,ATOM,Cosmos Hub,2.06,994048282,38730645.0,2025-12-16 20:00:51
96,FBTC,Function FBTC,86511.0,989278389,143677.0,2025-12-16 20:00:51
97,LSETH,Liquid Staked ETH,3153.77,978995914,56916.0,2025-12-16 20:00:51
98,LBTC,Lombard Staked BTC,87267.0,971341129,7724943.0,2025-12-16 20:00:51
99,SOLVBTC,Solv Protocol BTC,87040.0,967859743,72739.0,2025-12-16 20:00:51
102,FLR,Flare,0.01154706,928494904,8284668.0,2025-12-16 20:00:51
